Provincia,Año,Trimestre,Acesosx100hab,Acesosx100hog,MbpsMediaBajada,Incremento_habitantes,KPI_Habitantes_Cumplido,Incremento_hogar,KPI_Hogar_Cumplido,Incremento_Velocidad,KPI_Velocidad_Cumplido
Santa Fe,2017,2,16.4365192755623,52.2696112396987,6.8387492504462,0.5768147124864509,0,0.5762996478530402,0,8.82733199768715,1
Santa Fe,2017,3,19.1521648988496,60.9063556345152,7.79221514839974,16.52202377984553,1,16.523452518538928,1,13.942109339530617,1
Santa Fe,2017,4,19.405680474329,61.7127712196729,10.2974946018472,1.3236914824946489,1,1.324025344738744,0,32.15105596721055,1
Santa Fe,2018,1,19.5846823687574,62.2819984430096,11.173305005746,0.0,0,0.0,0,0.0,0
Santa Fe,2018,2,19.6755915306821,62.5707923995744,11.7488846228176,0.4641850207881104,0,0.46368768469922106,0,5.151381948095057,0
Santa Fe,2018,3,19.9391069827321,63.4096146162309,12.3573260434886,1.3393012943934801,1,1.3405970813024304,0,5.1787164501500005,0
Santa Fe,2018,4,20.6237364064387,65.5870688619156,13.1792348999695,3.4336012354992063,1,3.4339496602575847,1,6.651186944395526,0
Santa Fe,2019,4,21.8483506557326,69.4823572559686,20.5471970198073,0.0,0,0.0,0,0.0,0
Santa Fe,2020,1,21.8613245878736,69.5235794025313,22.4240567700362,0.0,0,0.0,0,0.0,0
Santa Fe,2020,2,22.0118993487247,70.002168637187,23.9257916089841,0.6887723579870553,0,0.6883840544007924,0,6.6969810786180695,0
Santa Fe,2020,3,22.6777105226816,72.1206024734824,25.6909413412681,3.0247783864933764,1,3.0262402973185054,1,7.377602217437973,1
Santa Fe,2020,4,23.1367697431769,73.5807380726778,27.2943524462156,2.0242749815337913,1,2.0245748775216788,1,6.2411535787981975,0
Santa Fe,2021,1,23.2423821861305,73.9165640702618,28.1306300731529,0.0,0,0.0,0,0.0,0
Santa Fe,2021,2,23.6047874530137,75.0687862629301,30.7018831645519,1.5592432134579504,1,1.558814600166003,0,9.14040348443148,1
Santa Fe,2021,3,23.5881524458178,75.0170476272823,33.1322962473813,-0.07047302259768351,0,-0.06892163604003132,0,7.916169408251572,1
Santa Fe,2021,4,24.2396579975196,77.0892017943923,36.0240238372751,2.7620033116129594,1,2.762244359982513,1,8.727821242158429,1
Santa Fe,2022,1,24.3073969989344,77.304584747584,38.89,0.0,0,0.0,0,0.0,0
Santa Fe,2022,2,24.4959067991646,77.9,42.01,0.7755244226210767,0,0.7702198444764496,0,8.022627924916414,1
Santa Fe,2022,3,24.7,78.55,45.15,0.833172670473914,0,0.834403080872903,0,7.474410854558444,1
Santa Fe,2022,4,24.65,78.4,90.3,-0.2024291497975783,0,-0.19096117122850975,0,100.0,1
Santa Fe,2023,1,24.57,78.13,92.22,0.0,0,0.0,0,0.0,0
Santa Fe,2023,2,24.79,78.83,94.87,0.8954008954008996,0,0.8959426596697906,0,2.8735632183908066,0
Santa Fe,2023,3,24.87,79.09,97.39,0.32271077047196783,0,0.3298236711911873,0,2.6562664699061767,0
Santa Fe,2023,4,25.08,79.75,99.81,0.8443908323281013,0,0.8344923504867818,0,2.484854707875561,0
Santa Fe,2024,1,25.28,80.4,100.2,0.0,0,0.0,0,0.0,0
Santa Fe,2024,2,25.58,81.34,102.51,1.186708860759489,1,1.1691542288557288,0,2.305389221556897,0
Santiago Del Estero,2014,2,4.14368314793901,16.6955673473544,3.06975092114959,0.0,0,0.0,0,0.0,0
Santiago Del Estero,2014,3,4.08216959029359,16.4922039083019,3.09954651038892,-1.4845140289265313,0,-1.2180684538685482,0,0.9706191155135269,0
Santiago Del Estero,2014,4,4.26296198713424,17.2692015836451,3.45822447265973,4.428831111537601,1,4.7113028656653455,1,11.571949672915348,1
Santiago Del Estero,2015,1,4.24446895477843,17.0558169911586,3.57110412512624,0.0,0,0.0,0,0.0,0
Santiago Del Estero,2015,2,4.24666870850714,17.1105666329829,3.72881129536047,0.05182635924885215,0,0.32100275145234836,0,4.416201956269061,0
Santiago Del Estero,2015,3,4.2373027191788,17.1188225313532,3.91123732169146,-0.22054909321223004,0,0.04825029204109654,0,4.8923373129117875,0
Santiago Del Estero,2015,4,4.19782273142194,17.0049780380361,4.09410169145076,-0.9317245043212519,0,-0.6650252557300229,0,4.675358581417344,0
